gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Sh2b3_72895,95.22720026,0.859628024,0.209159843,4.109909485,3.96E-05,0.001929706
Capn7_57372,184.7958932,-0.796890813,0.194175568,-4.103970549,4.06E-05,0.001974399
Asns_67075,52.15285921,0.883493551,0.215781201,4.094395371,4.23E-05,0.002045133
Fgd4_67696,322.2350264,-0.796664921,0.194598726,-4.093885589,4.24E-05,0.002045133
Tra2b_79462,694.5312153,0.481373029,0.117567943,4.094424178,4.23E-05,0.002045133
Trap1_64417,544.4091799,-0.619020157,0.151260172,-4.092420027,4.27E-05,0.002052405
Psme4_66005,683.6925226,-0.748311031,0.18298002,-4.089577812,4.32E-05,0.002071976
Map2k1_71481,140.4385394,0.667418369,0.163467267,4.082886933,4.45E-05,0.002126692
Mff_71599,1753.972574,-0.441450114,0.108396973,-4.072531732,4.65E-05,0.002217413
Cdc42ep3_60950,294.8572683,-0.679011944,0.16690525,-4.068247954,4.74E-05,0.002239364
Gadd45g_30550,328.3223893,0.915319755,0.225056959,4.067058227,4.76E-05,0.002239364
Smap1_67596,544.6587752,-0.633749711,0.155822885,-4.067115748,4.76E-05,0.002239364
Vangl1_80781,119.2189319,-0.775382845,0.190539203,-4.0694137,4.71E-05,0.002239364
Zfp386_57297,380.2942098,-0.96595232,0.237440397,-4.068188613,4.74E-05,0.002239364
Akap9_68185,216.8711867,-1.01493561,0.249744399,-4.063897393,4.83E-05,0.002251617
Mbtps2_31705,169.1278362,-0.763814447,0.187910106,-4.064786417,4.81E-05,0.002251617
Myc_30907,10.74556388,1.771840153,0.43598869,4.063958984,4.82E-05,0.002251617
Kcna3_61180,144.4686137,-1.034947603,0.25472764,-4.06295761,4.85E-05,0.002254644
Ap3b1_60863,1054.009339,-0.388568615,0.095683587,-4.060974601,4.89E-05,0.002267802
Tmem245_72859,1328.702162,-0.533784034,0.13149543,-4.059335251,4.92E-05,0.002277691
Slc25a46_70276,807.4847664,-0.79468224,0.19593161,-4.055916445,4.99E-05,0.002305122
Topors_73469,472.368767,-0.575452821,0.141907277,-4.055132573,5.01E-05,0.002306731
Cox6b1_69737,5168.349598,0.54201249,0.133687416,4.054326906,5.03E-05,0.002308571
L3mbtl2_79196,116.2837587,-0.663243834,0.163704477,-4.05147035,5.09E-05,0.002330777
Spint1_30201,439.274563,-0.833310123,0.206027968,-4.044645644,5.24E-05,0.002393407
Tmf1_58334,305.6642717,-1.077181931,0.266407631,-4.043359892,5.27E-05,0.00240026
Cerk_69028,46.42574546,1.181266449,0.292195575,4.04272532,5.28E-05,0.002400467
Dnajc28_64398,91.74940719,-1.510905017,0.374118461,-4.038573804,5.38E-05,0.002436962
Msmo1_75786,784.5513876,0.695830808,0.172573997,4.032072162,5.53E-05,0.002492376
Topbp1_31204,184.7299313,-0.552409904,0.136989617,-4.032494693,5.52E-05,0.002492376
Adam22_79503,61.54926196,-1.444065454,0.358271392,-4.030646839,5.56E-05,0.002501043
Fam3c_82261,244.1137646,-0.928356428,0.230449981,-4.02845087,5.61E-05,0.002517992
Osgin2_71373,73.33252044,-1.315328059,0.326587261,-4.027493466,5.64E-05,0.002521748
Kmt5b_69498,509.4051016,-0.751766811,0.186737941,-4.025785053,5.68E-05,0.002531189
Nae1_80066,646.8324653,-0.597434081,0.148415898,-4.025404881,5.69E-05,0.002531189
Tbc1d19_75387,464.9359431,-0.628568688,0.156490191,-4.016665106,5.90E-05,0.002620157
Chmp2a_29810,141.299718,0.766926255,0.190966374,4.016027742,5.92E-05,0.002620548
1190002N15Rik_55292,52.32000137,-1.068356713,0.266200534,-4.013353005,5.99E-05,0.002643689
Srm_62972,14.4472175,1.322969589,0.329825135,4.011124231,6.04E-05,0.002655261
Trim33_75678,202.7121265,-0.701677748,0.174917921,-4.011468606,6.03E-05,0.002655261
Lgals3_57836,326.8231017,0.804984791,0.200879194,4.007307956,6.14E-05,0.002691704
Noct_77181,43.39253021,1.557053939,0.388888046,4.003861666,6.23E-05,0.002724359
Arl2bp_66093,702.730521,-0.847352898,0.211781681,-4.001067966,6.31E-05,0.002744751
Fkbpl_62000,154.6107561,-0.636940279,0.159222451,-4.00031701,6.33E-05,0.002744751
Gid4_59734,101.3604019,-0.955877291,0.238937886,-4.000526281,6.32E-05,0.002744751
Api5_68047,549.4590524,-0.720414065,0.180305788,-3.995512685,6.46E-05,0.00279403
Atf7ip_63568,561.967756,-1.008390028,0.252679099,-3.990793195,6.59E-05,0.002843132
