Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
HexCer(d18:1/24:0),697897,962945,867442,707358,706407,841005,922209,778472,994179,830863,1059610,1189633,900854,682414,952335,997191,990993,1360371,803688,835362,903492,1194981,945012,885662,839278,919705,1036015,963907,940696,795033,749074,879236,962876,1333726,1039341,1042405,839363,888238,867324,1017983,743341,695731,762665,912166
LPC(14:0/0:0),12155,13563,12193,13362,16069,4440,11011,9521,13724,13630,15078,19472,11283,10835,4406,12968,14570,36998,17481,30338,20129,13052,13799,7818,14896,15108,16993,11389,19230,8142,6224,17931,6607,10174,10160,12469,10839,8389,24327,23703,10933,10970,10532,12986
LPC(16:1_0:0),95677,92805,69389,100609,79077,46588,73177,79493,84627,103784,159922,81902,84663,103937,30725,49503,77953,176244,105910,104881,104903,97488,92018,65772,72322,92835,122475,91051,133068,52845,58097,82245,42437,41894,75819,57373,59369,65816,160128,119177,70371,80792,97073,85008
LPC(0:0/16:0),280943,307642,243885,290874,260743,219700,320644,285959,256124,361516,357537,236602,299754,299428,170807,273550,280203,413286,275638,259988,278043,329131,223108,304482,300746,307614,357678,267229,362675,250789,328337,268497,248628,268349,313081,249520,231436,325687,370302,335781,245786,294946,288628,266191
LPC(16:0/0:0),2230081,2589883,2084430,2224039,2285216,2430428,2634072,2467294,2383894,2724310,2683445,2639969,2600995,2497627,1830698,3027266,2636624,4190010,2526331,2684732,2960985,2879467,2316097,2982035,2989262,2829039,2888148,2775566,2624443,2259943,2717964,2770878,2390967,2925753,2838119,2660389,2131758,2604707,3388409,2978235,2512961,2495047,2838613,2703529
LPC(0:0/17:0),22041,17888,19264,14874,21472,29926,24782,24784,24987,28844,28880,25300,24028,23303,7598,53026,24822,57816,28670,21079,68769,34119,27560,47548,64366,50572,55952,38867,22825,25222,31221,31591,23484,48045,36831,36197,26270,53266,38701,33858,36463,38581,42562,36244
LPC(0:0/18:2),320136,354181,257706,368746,277345,169546,348461,274639,353555,462818,486856,292246,331940,371332,116211,244662,414884,536130,366328,281004,422597,374989,271675,373793,386382,440005,379115,321011,468207,287653,282564,283867,233233,260117,342878,313108,290536,424980,428621,373169,248463,322776,375746,306883
LPC(18:2/0:0),67477,75907,70433,71987,88996,78263,92887,65425,81347,90214,86012,88113,67254,101489,32539,83987,111096,205651,118303,98157,149258,122873,79354,115224,136087,135641,107478,77053,117001,87495,148149,92131,85141,97121,138554,115904,113209,145155,157207,107593,89604,117240,156355,130310
LPC(0:0/18:1),354837,397083,340087,489643,304598,220317,329309,355492,351672,464655,500881,408261,484329,433988,168670,274087,448686,526201,377235,380794,362154,493594,301823,370188,398075,420031,435467,356925,560519,292156,409483,332203,276362,258580,329815,277173,296202,411457,643228,444357,335385,348063,315021,368365
LPC(18:1/0:0),120370,118377,118097,134674,121988,101035,107671,101030,127768,169472,140118,134014,102759,147774,67932,118342,179489,291125,160528,158377,199307,230327,127479,193022,165021,155373,171913,173752,178270,105880,178219,141200,108329,124706,233079,155193,141179,172906,291667,186537,155436,175872,199783,186841
LPC(0:0/18:0),80610,109059,91281,98684,102912,131335,115526,129000,123309,123646,122288,113447,110480,115221,92905,165831,126876,269493,122766,135078,171266,143814,108158,189491,190254,157298,173715,155581,125833,110495,153757,121458,107774,229662,172070,140702,105179,155269,146752,149159,116654,120066,163642,151878
LPC(18:0/0:0),1415701,1704450,1443738,1473231,1570277,1817944,1691050,1814588,1944378,1926317,2020978,1748540,1588201,1588106,1594577,2781863,2029152,3445960,1907599,1967271,2666804,1809989,1815544,2748109,2608986,2368354,2489218,2287715,1708283,1843375,2168876,1798753,1677751,3498310,2384654,2277326,1546045,1941466,2130004,2451528,1815856,1914025,2365345,2050771
LPC(20:4_0:0),320011,339220,214018,397025,280364,176792,266425,231089,269090,328486,394768,265823,316405,376205,83183,187200,339351,441414,245655,230574,339597,353683,264787,209758,382300,376134,340309,293454,448210,188634,275233,294840,141986,178328,251289,232679,204229,319923,426747,325529,233972,292223,266822,277782
LPC(0:0/20:3),27686,49722,21144,52415,21428,11494,35655,18340,25894,44001,35893,38366,28717,44622,9887,18015,24641,63173,44636,32660,31675,53914,21435,23656,34199,48539,32247,31481,58082,19411,35027,25753,28869,17398,22624,28199,17605,26629,69912,31781,16317,26857,21578,28478
LPC(22:6_0:0),96437,155164,65722,140826,115395,49279,94980,135551,134497,147223,111356,67448,79598,106110,30935,71423,104035,174255,90549,76496,89740,93803,41772,82282,94048,99672,117179,105048,123540,73149,77124,72773,53681,63926,117976,110083,113482,101268,144000,106816,56444,66943,113863,60067
