Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
PE(16:0_18:1),2924956,3290111,3221111,3294533,2912019,2726099,3234495,2914855,2992460,2846848,3135759,3064156,3171609,2747201,3042885,2525607,3308832,3613104,3208179,3554526,2726537,3035392,2799540,2918871,2860491,2919223,3079665,2912017,3189809,2737852,2989236,2856171,3314876,2838322,3331563,2825590,2950772,3398702,3455840,3114707,2891604,2868747,2896455,2623126
PE(18:1_18:2)a,1189852,1374042,1265677,1124341,1254108,1164949,1640538,1318241,1170758,1583329,1443218,1268985,1121163,1232718,1160744,1132986,1325822,1247224,1645230,1188156,1387667,1283987,1282403,1173420,1208306,1302844,1305879,1175046,1203523,1140575,1207564,1305616,1393032,1152653,1306079,1409570,1337967,1432861,1279117,1410277,1344280,1226529,1494404,1212696
PE(18:1_18:2)b,227235,344369,295232,220070,273396,161663,328133,265385,211260,240526,269868,351306,272060,272980,254495,206047,249825,515345,391409,386126,274732,385636,178516,334340,267625,372607,286103,296549,295647,170700,286750,262762,360406,273756,281530,333069,255763,278435,475204,322946,320784,280252,223220,253089
SM(d16:1/16:0);SM(d18:1/14:0),371553,385833,399975,438338,343593,355871,473877,463851,476624,442684,428575,357053,508934,403722,285114,325756,449175,768863,448240,474653,505120,467313,323439,504290,546460,491993,379994,522935,461089,368512,414444,403728,340888,412451,370741,387986,446251,463456,422950,485278,434665,460526,520271,361872
SM(d32:0),14780,21073,17647,27846,18774,11502,21779,22968,17447,18356,14708,20316,18025,18068,16864,10366,16156,30768,20878,23987,10835,16684,16534,26743,25569,27419,10371,23738,23268,16693,24532,11712,13971,20003,17537,20899,16667,12030,14510,38504,19032,20346,33396,15932
SM(d17:1/16:0),864346,686610,901809,776015,837447,694046,837579,632262,856678,888705,789284,739607,945995,971395,745741,637390,993584,950872,826512,842405,1313604,936934,848137,903049,1093228,993433,736696,855176,913604,799656,807603,733382,717230,609789,687865,772763,859125,875554,951337,771207,867047,1005478,972753,799255
SM(d34:1),11280738,12656843,12748693,13218568,12140277,10506383,11498828,11827003,11376103,11503825,11826878,12187202,12338214,12458683,11598005,11471244,13869737,12780393,12182008,12415376,12686701,12375893,12662507,12206156,11916654,12337741,10346349,13465458,12946574,12035193,12232699,11493807,11371150,11452869,11876594,12296981,12871093,12227300,12432324,11815325,12253881,11026059,12126880,12365941
SM(d35:2),21674,27567,24318,17742,30262,27848,32837,27783,28158,25634,22250,29350,33845,27835,14703,32811,31525,46349,16924,28690,33813,34909,20740,32879,43343,35660,33497,18889,31654,25723,28791,34356,25439,21685,34178,26701,20088,38219,34814,27815,33091,33076,43827,32603
SM(d36:5),166928,91452,136151,127789,151588,139000,174612,89762,114577,194192,87012,118244,104344,114560,127814,121578,177517,72048,141345,160178,156450,114921,159944,134600,107713,143671,92764,136743,123068,124167,104095,138033,134692,98771,104951,124575,156082,103790,184713,133003,250683,146546,175192,145248
SM(d18:1/18:3),120368,115584,153077,133558,139847,79173,87796,88348,124061,118636,118160,110320,109482,91609,143651,104542,132856,71548,114693,100403,131815,104427,146528,123234,102031,113608,81535,132545,123587,104939,105853,100492,103958,92180,96739,108381,131025,81118,110979,109657,141140,110499,89505,109418
SM(d18:2/18:0);SM(d18:1/18:1),918963,973677,1031206,798112,760139,820755,1003006,931014,904371,921756,812387,951888,1142980,886197,832750,1205340,1072758,1104091,867423,970971,862069,812538,859560,1090306,1037014,967919,984705,1055013,1008570,991602,1136122,961391,771919,906799,909310,931819,749216,854887,907895,990867,1179591,1008090,1084930,1016713
SM(d18:1/18:0),6583551,6588875,7247783,5447472,5523934,5670959,5753838,5683353,5719323,5851343,5782350,6069954,7459075,6418379,5847217,7347034,6146025,6049385,6210175,6335766,5731422,5773886,5845147,6451090,6915917,6538028,6320930,6643054,6046664,6053516,7148154,6143671,5890219,6289185,6123890,5664295,5947843,6396700,6170766,5816379,6472660,6650312,6906004,6583608
SM(d18:1/20:1),1664229,1637277,1791383,1522729,1526881,1793142,1569160,1629623,1518121,1326952,1553189,1608427,1849251,1953321,1438307,2002004,1519365,2221213,1600160,1927502,1583446,1413610,1501191,2079847,1671361,1881138,1881202,1604196,2029305,2024823,1930173,1632763,1627834,1587072,1573109,1587685,1566264,1649824,1837225,1756910,1679569,1685626,2160822,1706953
SM(d18:1/20:0),8416426,9900457,9221456,8692494,8471634,8534620,9423290,9644380,8992653,8807383,8180983,9291335,9690061,11190083,7955511,10173854,8767330,10588829,8622782,10440261,9340618,9282247,8324056,9359237,10468123,9003000,10625522,10041413,9640415,9670623,10534681,9349296,8641692,9109376,8984178,8602897,8737428,8976752,9801176,9293792,8040801,9317344,11202264,9032932
SM(d18:1/22:1);SM(d18:2/22:0),4169985,6782797,5180804,5439384,5015844,4721266,6382069,5922649,5439378,4820289,4964970,5653850,5470382,6735931,3977362,5210331,5565412,7273949,4381311,6336395,4490824,5935315,4401429,5266056,5722491,5789819,6568735,5631979,5597590,5197948,6534952,5043007,5279346,5316781,4871276,5157015,4966852,6610021,6011046,5524019,4846499,5296551,7043335,5183454
SM(d18:1/22:0),13097188,16245058,14382394,14535529,13528530,13682643,15213345,15574135,12959995,15008025,13810428,15449057,14320814,16369562,12228850,14171094,15144849,15762996,12052811,16838302,14206468,15255272,13778048,14957259,15756316,15074027,15451211,15507747,14806972,14523341,15983716,13614121,14434683,15615818,14929510,14636632,14431170,15170982,15079025,14600421,13275204,14070621,16853368,15253835
SM(d40:0),1638838,2864282,1960219,2419909,2909092,2171465,2526877,2769896,1649927,2034306,1718554,2250199,2110649,2209195,1992811,2025799,1848212,2627099,1467495,2814127,1976133,2171039,1899420,1583175,2161522,2365686,2069108,1718719,2260515,2191466,2625407,1798885,2324787,1992147,2085305,1745367,1756357,2110142,2468657,2830185,2089431,2154013,3029049,2031400
